i 1 2 3 4 5 6 7 8 9 10 11 12
0 0.8861181575887243 0.8858324686951093 0.8874439567838104 0.8873910252745225 0.8829765950068434 0.8830544909122868 0.8869904691482074 0.8858479010825455 0.8795926300274478 0.8798611920437328 0.8799367417160966 0.880449150391136
100 0.8831889512545246 0.8749314705929322 0.8863818961244196 0.8864986192251797 0.8590718046807921 0.8666895380013532 0.8723366207550481 0.8565938878897174 0.8356294458135883 0.847611838419853 0.8444220385579085 0.8358865523422374
200 0.8770454080600519 0.8617919630988249 0.882677433325087 0.8864169965769829 0.8458325222476034 0.8556796722011561 0.8568050451130677 0.8493955066022635 0.807957046097345 0.8298648303290993 0.8212764669176592 0.81984617573091
300 0.8753754440840298 0.8602242501522199 0.8784596977211341 0.8818790496053315 0.842724568369951 0.8457906379029068 0.8516092207000586 0.8424928958320469 0.7974527972077405 0.8229751541403647 0.8147141697237226 0.8144522108929909
400 0.8751580020802465 0.8586810169338328 0.8766705847818098 0.8780534660837166 0.8424543955833425 0.8379403652486112 0.841331958866151 0.8424129847516132 0.793189555225753 0.8092152208485571 0.8113561633252572 0.8129866946508553
500 0.8722649250023727 0.8616393179586085 0.8755425568219676 0.8762091281864239 0.8387702735382182 0.8375965331475276 0.8394253356618858 0.8447612799213384 0.792902435012597 0.8027663708532161 0.8094768575609431 0.8148420420652995
600 0.8725570690394814 0.8626278230125317 0.8753660666700059 0.8740467677254387 0.8385409719094595 0.839158044936265 0.8392419908802744 0.8447908766728357 0.7900903061658162 0.8049624036392713 0.8051795957637495 0.8187194441260836
700 0.8722104255554535 0.8630451970309206 0.8743522960150513 0.8732919826995399 0.8355156340795462 0.8374482203587885 0.8364859844448234 0.846733731653248 0.7895987921242305 0.8061262747108668 0.8053662916883816 0.8190200983136764
800 0.8723116119858874 0.8646880615684072 0.8750569412647082 0.8732841239573049 0.8343957811999243 0.8375610557534265 0.8345502963235139 0.8457560642091844 0.7900648123540273 0.8054076748952452 0.8049178400867766 0.8194341595064549
900 0.87355563641631 0.8663121299328406 0.8760998660829233 0.8729040678807829 0.8318763904486611 0.8373509371713265 0.8339369463302643 0.8439341622626648 0.7915653507747672 0.8063466836387277 0.8074666895530378 0.8194209389788498
1000 0.8743602021280382 0.8659780194928698 0.8747957156564187 0.8727352406963407 0.8308755208820835 0.8388076256713017 0.833721281293621 0.8412576064915978 0.7929455203517801 0.8053500267675144 0.8072894010632276 0.8189518809455337
1100 0.8733624070289372 0.8655532584145225 0.8731764922877574 0.8734391315181285 0.8316487204691804 0.8394214246773967 0.8346060752005342 0.8387343498172579 0.7928804876389305 0.8023836896394836 0.8051728081716883 0.8163511588227287
1200 0.8719174880440903 0.8640930303287281 0.8727905363602798 0.8739484468958807 0.8335728270950894 0.839517980114402 0.8338400465276223 0.8381001030933966 0.7923254407062155 0.8039364268788005 0.8035690720613483 0.8151553919732192
1300 0.8703047553030313 0.8642916864981615 0.8736201214297844 0.8738211037532041 0.8337553332476354 0.838862881190748 0.8322279331397466 0.8375809688349909 0.7917495486811837 0.8034471022227722 0.803670280303541 0.8159051409095919
1400 0.8700665805999424 0.8647122091200876 0.873953141035732 0.8742596501959481 0.8326059722517453 0.8392745705469248 0.8339685472229327 0.837661589902163 0.7911603264696652 0.8025246914060421 0.8052494162534396 0.8154624265141766
1500 0.8704194704939004 0.8638711173273568 0.8740564819053303 0.8738558887734112 0.831882157895806 0.8372619188132314 0.8338928562771399 0.8384699676061834 0.7913394252287226 0.803847600747989 0.8058073169084119 0.8132345002098522
1600 0.8710230718893784 0.8645754390122162 0.8737887393321521 0.8738771014443606 0.8303687052990989 0.8367663404257135 0.8342376573532087 0.8382579235231798 0.7907251081949243 0.8030413642332087 0.8056568917889324 0.8117589123860829
1700 0.8706405317033252 0.864732792921803 0.8737304605721135 0.8743309030877665 0.8306542691494248 0.837228215502199 0.834319808004848 0.8371499542574244 0.790686208071116 0.8025983023975166 0.8050196286853791 0.812267610501354
1800 0.8697886599889542 0.8653259899495079 0.8739489448828813 0.8739946237923821 0.8305018735670608 0.8371059336070806 0.8331219317931255 0.8375780393821985 0.7917969059767529 0.8022119459384086 0.8049932759898423 0.8126069283463865
1900 0.8690168591813727 0.8654359309718578 0.8730894804770242 0.874152379720087 0.8294973572591886 0.8370250204024943 0.8337412512476646 0.837744467198404 0.7931804440246607 0.801123715699455 0.8043508064574268 0.8114827198794724
2000 0.8691591478330375 0.8648752979811727 0.8726809047455668 0.8742911177084016 0.8288249413261539 0.8362704365589635 0.8333367912660417 0.837039857105401 0.7937049738556109 0.8016492750852486 0.8033578524764878 0.8117320803061332
2100 0.8691664011246089 0.864999584220866 0.8729478043988739 0.8742747077618612 0.8296558013391375 0.8368140386537746 0.8329258561071378 0.8373090035388385 0.7938863273697527 0.8029975033055742 0.8020970602085371 0.8116152537697389
2200 0.8689328787765686 0.8659279820738789 0.8725703650284777 0.8740682138357684 0.8295303279238452 0.8364789172722427 0.8328677569480838 0.8368063286871652 0.794155626632931 0.803288055797301 0.802270739256794 0.8120887187976562
2300 0.8692705082824647 0.8661041786153253 0.8725295433763399 0.8739871732885364 0.8287061524693083 0.836944077603675 0.8330220871799041 0.8368447845853801 0.7933372452644184 0.8023099440640769 0.802871581049375 0.8122571566957749
2400 0.8691902732380402 0.8660021497833418 0.8728185754315718 0.8737528869596801 0.8279479995584365 0.8367752721420284 0.83264097906242 0.8356705683908737 0.7936359907591936 0.8017705812821224 0.8037030136648913 0.8131928308974845
2500 0.8687516075832672 0.865689396914656 0.8732677975273602 0.8731537394684845 0.8276614032055307 0.8361982781844283 0.8332283576486802 0.834844170290498 0.7927070260424681 0.8020151573498595 0.8046678925748578 0.8133117729205156
2600 0.8687812218718912 0.8656553968851172 0.873676403217795 0.8732063954816154 0.8275917241205784 0.8356887545349734 0.8334772215400948 0.834323597174687 0.7930860849327247 0.8013506666177144 0.8055246188868302 0.8130602874675276
2700 0.8687454971516786 0.8655253832843856 0.8732732638466522 0.872759756174789 0.8280239346513782 0.8349168114764802 0.8327167452146239 0.8339375524255968 0.7932859889449421 0.8011129288489265 0.8050648855342152 0.8140793476786756
2800 0.8684610785678376 0.8657908078802898 0.8730235900516803 0.8726457543047614 0.8285518534981716 0.8351136373406709 0.8319042025023226 0.8341185804987629 0.7932843502086473 0.801270125921731 0.804996460008351 0.814104611691538
2900 0.8688378886732643 0.8662268039494656 0.8726829550763169 0.8728455901879666 0.8286647747535173 0.8351366026562199 0.8311532262160937 0.8334226315153027 0.7928304162448688 0.8020322330225278 0.8047845417898456 0.8137159771393182
3000 0.868338137705052 0.8661076354193837 0.8724569671707809 0.8732512413048683 0.8288664248560866 0.8349706704549105 0.8313515416926145 0.8342387063053487 0.7920625107697823 0.8023621630865145 0.8046581600521598 0.8138666813585312
3100 0.8679182072321677 0.8656672161786888 0.8720909548267599 0.8735346076938079 0.8293060077602686 0.8351054202461907 0.8312699945802042 0.8339021906573575 0.7922471648797988 0.8026385285168655 0.8045083972999124 0.8144075112427869
3200 0.8678781393877426 0.8653985143755104 0.8722157158794837 0.8732312657252764 0.8295431387446655 0.8348043816469206 0.8312323756521157 0.8339529180782654 0.7916986934116624 0.8032885596307273 0.8037120641313636 0.814602060335051
3300 0.8681468222842829 0.8651068296630039 0.8723010593018691 0.8732791090228464 0.8297319124866681 0.8345625067534539 0.8313178018046895 0.8336694749522128 0.7916790125755233 0.8032508147176458 0.8038376139103042 0.8149197995579874
3400 0.8686214634034789 0.8649189496105665 0.8724866294876505 0.873469014745993 0.8301844762230874 0.8341318684461316 0.8305271243045778 0.8334155887429965 0.7916473012686274 0.8031946549253829 0.803769320880903 0.8150129026524543
3500 0.8687229167243021 0.8652068186763868 0.8720741457505796 0.8738244418987801 0.8303805177296734 0.8339517966456801 0.8305136502726148 0.8335629213024149 0.7912254479877922 0.8028109830892357 0.8037960146465168 0.8147527673583715
3600 0.8685925242680308 0.8650267660698914 0.8719206710522388 0.8741670685549079 0.8301965306496086 0.8343072329255007 0.830645473033425 0.833224368244013 0.7914660380805907 0.8036213743573505 0.8035051751299769 0.8143586502674554
3700 0.8687406751703106 0.8650548878911348 0.8721812128947609 0.8741028601788292 0.8299533993063707 0.8345000446594213 0.8311515351561262 0.8327997603903172 0.7920850833913622 0.803338487562216 0.8036603647897542 0.8141209028425483
3800 0.8685130436206444 0.8652754867149186 0.8718356520652881 0.8738725830962053 0.830253181584233 0.8346158931826916 0.830817392092965 0.833017729482966 0.7914491665084973 0.8024575572848083 0.8036083958152541 0.81351794514722
3900 0.8681531566623834 0.8656549670937436 0.8719269139046075 0.8739741872711656 0.8304200819884247 0.8347536308910122 0.8306589252905549 0.832949086041031 0.7909612528998329 0.8021319264954867 0.8032901216996667 0.812723479512298
4000 0.8682081588988894 0.8656123251001663 0.8718214616936212 0.874075500217359 0.8303855192504139 0.8349433998786246 0.8305660033553207 0.8330250848640113 0.7906550236131819 0.8023600133836543 0.8032087232654938 0.8123383868125214
4100 0.8683798917730138 0.8654280333210697 0.871363467232258 0.8737123483580885 0.8304882872003881 0.8346202798265615 0.8299626213685412 0.8326490409545503 0.7905757179606989 0.8020554096545044 0.8036608023789114 0.8125369347215937
4200 0.8683601734062368 0.8654265720828138 0.871124457250508 0.8737770744035014 0.8304925856062745 0.8349660483576247 0.8296803481167104 0.8326891435177535 0.7906851682471953 0.8017534779887822 0.8035974752712165 0.8121521776946821
4300 0.8686815151357444 0.8653601602913901 0.8713501188578222 0.8737703548814237 0.8308444351812773 0.8350868207064653 0.8300302389039034 0.8323142602951569 0.7906340199099609 0.8020379746891186 0.8037015081150494 0.8117282992287004
4400 0.8684116853195027 0.8655686344133331 0.8713698765249086 0.8738407076001465 0.8311870907239813 0.8350180551109748 0.8300753076517995 0.8321911642476673 0.790837225188538 0.8022118020807786 0.8031567665148662 0.8117060903944376
4500 0.8680390276838394 0.8657037029788164 0.8715183969392083 0.873929487960155 0.8314238133901778 0.834922067600346 0.8296021795322923 0.8322069928995522 0.7908442038135703 0.8027851492334256 0.8032600679083631 0.8120048622148432
4600 0.8679374269049173 0.865521079394161 0.8711943205161721 0.8734923247625257 0.8315426463652758 0.8350249166486337 0.8299470960829056 0.8316821639453386 0.7911319926052762 0.8032195127832873 0.8037199488984211 0.8120204157072766
4700 0.8681560850811266 0.8653005909651591 0.8714018353381482 0.8731469035984848 0.8317745003504767 0.8351151275860101 0.8301370205380517 0.8319790252544865 0.7910490811132049 0.8028955269029427 0.803577977252478 0.8115084119957625
4800 0.8679670695480678 0.8652447375768775 0.8713006690902939 0.8730384231250852 0.8317893214440669 0.8346050884698564 0.8304658155750438 0.8320736748242749 0.7912372015244848 0.802560640676859 0.8041159875654812 0.8109932768011593
4900 0.8677501313638946 0.8649088605785011 0.8708496149110836 0.8732090983818753 0.8317134485151599 0.8341816119624254 0.8300497296338577 0.8319797133628658 0.7915761609870994 0.802188765992056 0.8038507777548112 0.8112950980142416
5000 0.8676353160233132 0.8647528152781386 0.8708721619185599 0.8730936865955594 0.8318714145672805 0.834007592887914 0.8304634789016023 0.8316086127450784 0.7918073714712492 0.8020947817207886 0.804053168470005 0.8112531133002271
5100 0.8678407007018071 0.8644697589135915 0.8708395922359579 0.873139547881317 0.831905421935832 0.8339131573317582 0.830821245457402 0.8319756091708069 0.7924045327045509 0.8026029177771339 0.8041454303849161 0.8112376548946917
5200 0.8676684877315924 0.8646201954601545 0.870745498637578 0.8732830218500134 0.8314996870077787 0.8336325984562312 0.8305954272669424 0.8317832166067726 0.7924902122120447 0.8031015757955241 0.804451291544554 0.8111294761430942
5300 0.8676259787157321 0.8647380198584184 0.8709210004164504 0.8730868085557959 0.8317157542162308 0.8337455947278585 0.8304814253966665 0.8317167298104826 0.7921358938779963 0.8030373517627788 0.8042318428474815 0.8112357481139624
5400 0.8677917996508855 0.8650197656253796 0.8709753487949209 0.8730451980019717 0.8318518718286011 0.8337256012810699 0.830193120701093 0.8320772594790463 0.7920638047836026 0.8025642759564946 0.80424494796598 0.8110100967380767
5500 0.8680721709495739 0.8649484379561179 0.8710687045611304 0.8728398439996616 0.8320095274078256 0.8337263147438583 0.8301891975495213 0.8319170260340245 0.7917334322375663 0.8024819391628829 0.8040726526766242 0.8109192633968507
5600 0.8683456826232269 0.8651367270846434 0.8713083855393323 0.8728151662375895 0.8319199645722057 0.8331653641402755 0.8301940017933979 0.8318140913270566 0.7920287493010698 0.8024655074724499 0.8039185563715336 0.8107185449224902
