date,price
07-12-18,27.8047
06-12-18,27.8885
05-12-18,27.9585
04-12-18,28.0278
03-12-18,28.18
02-12-18,28.3145
30-11-18,28.2125
29-11-18,28.275
28-11-18,28.2995
27-11-18,28.1325
26-11-18,27.895
25-11-18,27.7635
23-11-18,27.7625
22-11-18,27.8
21-11-18,27.735
20-11-18,27.77
19-11-18,27.7375
18-11-18,27.539
16-11-18,27.7628
15-11-18,27.79
14-11-18,27.8145
13-11-18,27.867
12-11-18,27.915
11-11-18,27.978
09-11-18,27.87
08-11-18,27.926
07-11-18,27.91
06-11-18,27.9432
05-11-18,28.025
04-11-18,28.171
02-11-18,28.0805
01-11-18,28.115
31-10-18,28.11
30-10-18,28.17
29-10-18,28.1625
28-10-18,28.141
26-10-18,28.27
25-10-18,28.3
24-10-18,28.261
23-10-18,28.158
22-10-18,28.09
21-10-18,28.183
19-10-18,28.125
18-10-18,28.045
17-10-18,27.92
16-10-18,27.9275
15-10-18,27.92
14-10-18,27.912
12-10-18,27.92
11-10-18,27.99
10-10-18,28.01
09-10-18,28.02
08-10-18,28.08
07-10-18,27.996
05-10-18,28.085
04-10-18,28.155
03-10-18,28.285
02-10-18,28.275
01-10-18,28.205
30-9-18,28.271
28-9-18,28.265
27-9-18,28.3
26-9-18,28.15
25-9-18,28.035
24-9-18,28.09
23-9-18,28.032
21-9-18,28.05
20-9-18,28.05
19-9-18,28.055
18-9-18,28.155
17-9-18,28.115
16-9-18,28.157
14-9-18,28.155
13-9-18,28.155
12-9-18,28.065
11-9-18,28.085
10-9-18,28.175
09-9-18,28.28
07-9-18,28.2575
06-9-18,28.24
05-9-18,28.39
04-9-18,28.485
03-9-18,28.39
02-9-18,28.26
31-8-18,28.25
30-8-18,28.285
29-8-18,28.12
28-8-18,28.015
27-8-18,27.85
26-8-18,27.735
24-8-18,27.84
23-8-18,27.84
22-8-18,27.85
21-8-18,27.69
20-8-18,27.675
19-8-18,27.948
17-8-18,27.755
16-8-18,27.71
15-8-18,27.5
14-8-18,27.47
13-8-18,27.375
12-8-18,27.148
10-8-18,27.27
09-8-18,27.15
08-8-18,26.96
07-8-18,26.985
06-8-18,27.09
05-8-18,27.109
03-8-18,27.085
02-8-18,27.02
01-8-18,26.975
31-7-18,26.865
30-7-18,26.7375
29-7-18,26.777
27-7-18,26.73
26-7-18,26.59
25-7-18,26.59
24-7-18,26.5875
23-7-18,26.47
22-7-18,26.2595
20-7-18,26.44
19-7-18,26.44
18-7-18,26.315
17-7-18,26.2525
16-7-18,26.17
15-7-18,26.221
13-7-18,26.23
12-7-18,26.225
11-7-18,26.225
10-7-18,26.205
09-7-18,26.23
08-7-18,26.236
06-7-18,26.3425
05-7-18,26.35
